age_class,Total,var,date
"[45, 65)",3701,death_cumul,2020-05-01
"[65, 75)",4046,death_cumul,2020-05-01
"[75, Inf)",8396,death_cumul,2020-05-01
"[-Inf, 18)",9,death_cumul,2020-05-02
"[18, 45)",646,death_cumul,2020-05-02
"[45, 65)",3756,death_cumul,2020-05-02
"[65, 75)",4107,death_cumul,2020-05-02
"[75, Inf)",8534,death_cumul,2020-05-02
"[-Inf, 18)",9,death_cumul,2020-05-03
"[18, 45)",655,death_cumul,2020-05-03
"[45, 65)",3831,death_cumul,2020-05-03
"[65, 75)",4173,death_cumul,2020-05-03
"[75, Inf)",8687,death_cumul,2020-05-03
"[-Inf, 18)",9,death_cumul,2020-05-04
"[18, 45)",660,death_cumul,2020-05-04
"[45, 65)",3882,death_cumul,2020-05-04
"[65, 75)",4227,death_cumul,2020-05-04
"[75, Inf)",8798,death_cumul,2020-05-04
"[-Inf, 18)",9,death_cumul,2020-05-05
"[18, 45)",665,death_cumul,2020-05-05
"[45, 65)",3943,death_cumul,2020-05-05
"[65, 75)",4280,death_cumul,2020-05-05
"[75, Inf)",8913,death_cumul,2020-05-05
"[-Inf, 18)",9,death_cumul,2020-05-06
"[18, 45)",672,death_cumul,2020-05-06
"[45, 65)",3988,death_cumul,2020-05-06
"[65, 75)",4346,death_cumul,2020-05-06
"[75, Inf)",9054,death_cumul,2020-05-06
"[-Inf, 18)",9,death_cumul,2020-05-07
"[18, 45)",684,death_cumul,2020-05-07
"[45, 65)",4066,death_cumul,2020-05-07
"[65, 75)",4425,death_cumul,2020-05-07
"[75, Inf)",9209,death_cumul,2020-05-07
"[-Inf, 18)",9,death_cumul,2020-05-08
"[18, 45)",692,death_cumul,2020-05-08
"[45, 65)",4124,death_cumul,2020-05-08
"[65, 75)",4488,death_cumul,2020-05-08
"[75, Inf)",9322,death_cumul,2020-05-08
"[-Inf, 18)",11,death_cumul,2020-05-09
"[18, 45)",700,death_cumul,2020-05-09
"[45, 65)",4180,death_cumul,2020-05-09
"[65, 75)",4530,death_cumul,2020-05-09
"[75, Inf)",9420,death_cumul,2020-05-09
"[-Inf, 18)",11,death_cumul,2020-05-10
"[18, 45)",704,death_cumul,2020-05-10
"[45, 65)",4238,death_cumul,2020-05-10
"[65, 75)",4591,death_cumul,2020-05-10
"[75, Inf)",9519,death_cumul,2020-05-10
"[-Inf, 18)",13,death_cumul,2020-05-11
"[18, 45)",712,death_cumul,2020-05-11
"[45, 65)",4272,death_cumul,2020-05-11
"[65, 75)",4635,death_cumul,2020-05-11
"[75, Inf)",9617,death_cumul,2020-05-11
"[-Inf, 18)",13,death_cumul,2020-05-12
"[18, 45)",719,death_cumul,2020-05-12
"[45, 65)",4311,death_cumul,2020-05-12
"[65, 75)",4674,death_cumul,2020-05-12
"[75, Inf)",9707,death_cumul,2020-05-12
"[-Inf, 18)",12,death_cumul,2020-05-13
"[18, 45)",726,death_cumul,2020-05-13
"[45, 65)",4348,death_cumul,2020-05-13
"[65, 75)",4718,death_cumul,2020-05-13
"[75, Inf)",9790,death_cumul,2020-05-13
"[-Inf, 18)",11,death_cumul,2020-05-14
"[18, 45)",735,death_cumul,2020-05-14
"[45, 65)",4387,death_cumul,2020-05-14
"[65, 75)",4753,death_cumul,2020-05-14
"[75, Inf)",9877,death_cumul,2020-05-14
"[-Inf, 18)",11,death_cumul,2020-05-15
"[18, 45)",738,death_cumul,2020-05-15
"[45, 65)",4406,death_cumul,2020-05-15
"[65, 75)",4798,death_cumul,2020-05-15
"[75, Inf)",9949,death_cumul,2020-05-15
"[-Inf, 18)",12,death_cumul,2020-05-16
"[18, 45)",743,death_cumul,2020-05-16
"[45, 65)",4452,death_cumul,2020-05-16
"[65, 75)",4843,death_cumul,2020-05-16
"[75, Inf)",10040,death_cumul,2020-05-16
"[-Inf, 18)",13,death_cumul,2020-05-17
"[18, 45)",750,death_cumul,2020-05-17
"[45, 65)",4490,death_cumul,2020-05-17
"[65, 75)",4893,death_cumul,2020-05-17
"[75, Inf)",10105,death_cumul,2020-05-17
"[-Inf, 18)",300,case_cumul,2020-03-23
"[18, 45)",4965,case_cumul,2020-03-23
"[45, 65)",3519,case_cumul,2020-03-23
"[65, 75)",1150,case_cumul,2020-03-23
"[75, Inf)",825,case_cumul,2020-03-23
"[-Inf, 18)",341,case_cumul,2020-03-24
"[18, 45)",6035,case_cumul,2020-03-24
"[45, 65)",4343,case_cumul,2020-03-24
"[65, 75)",1402,case_cumul,2020-03-24
"[75, Inf)",988,case_cumul,2020-03-24
"[-Inf, 18)",384,case_cumul,2020-03-25
"[18, 45)",7094,case_cumul,2020-03-25
"[45, 65)",5194,case_cumul,2020-03-25
"[65, 75)",1689,case_cumul,2020-03-25
"[75, Inf)",1227,case_cumul,2020-03-25
"[-Inf, 18)",446,case_cumul,2020-03-26
"[18, 45)",8880,case_cumul,2020-03-26
"[45, 65)",6786,case_cumul,2020-03-26
"[65, 75)",2226,case_cumul,2020-03-26
"[75, Inf)",1633,case_cumul,2020-03-26
"[-Inf, 18)",495,case_cumul,2020-03-27
"[18, 45)",10145,case_cumul,2020-03-27
"[45, 65)",7869,case_cumul,2020-03-27
"[65, 75)",2627,case_cumul,2020-03-27
"[75, Inf)",1935,case_cumul,2020-03-27
"[-Inf, 18)",543,case_cumul,2020-03-28
"[18, 45)",11617,case_cumul,2020-03-28
"[45, 65)",9158,case_cumul,2020-03-28
"[65, 75)",3034,case_cumul,2020-03-28
"[75, Inf)",2286,case_cumul,2020-03-28
"[-Inf, 18)",591,case_cumul,2020-03-29
"[18, 45)",13213,case_cumul,2020-03-29
"[45, 65)",10596,case_cumul,2020-03-29
"[65, 75)",3571,case_cumul,2020-03-29
"[75, Inf)",2724,case_cumul,2020-03-29
