age_class,Total,var,date
0-17,591,case_cumul,2020-03-29
18-44,13213,case_cumul,2020-03-29
45-64,10596,case_cumul,2020-03-29
65-74,3571,case_cumul,2020-03-29
75+,2724,case_cumul,2020-03-29
0-17,619,case_cumul,2020-03-30
18-44,14233,case_cumul,2020-03-30
45-64,11577,case_cumul,2020-03-30
65-74,3954,case_cumul,2020-03-30
75+,3020,case_cumul,2020-03-30
0-17,714,case_cumul,2020-03-31
18-44,16028,case_cumul,2020-03-31
45-64,13344,case_cumul,2020-03-31
65-74,4496,case_cumul,2020-03-31
75+,3410,case_cumul,2020-03-31
0-17,757,case_cumul,2020-04-01
18-44,17347,case_cumul,2020-04-01
45-64,14689,case_cumul,2020-04-01
65-74,5015,case_cumul,2020-04-01
75+,3866,case_cumul,2020-04-01
0-17,816,case_cumul,2020-04-02
18-44,18767,case_cumul,2020-04-02
45-64,16104,case_cumul,2020-04-02
65-74,5584,case_cumul,2020-04-02
75+,4328,case_cumul,2020-04-02
0-17,881,case_cumul,2020-04-03
18-44,20313,case_cumul,2020-04-03
45-64,17497,case_cumul,2020-04-03
65-74,6095,case_cumul,2020-04-03
75+,4811,case_cumul,2020-04-03
0-17,988,case_cumul,2020-04-04
18-44,22434,case_cumul,2020-04-04
45-64,19971,case_cumul,2020-04-04
65-74,7064,case_cumul,2020-04-04
75+,5709,case_cumul,2020-04-04
0-17,1077,case_cumul,2020-04-05
18-44,23952,case_cumul,2020-04-05
45-64,21644,case_cumul,2020-04-05
65-74,7716,case_cumul,2020-04-05
75+,6337,case_cumul,2020-04-05
0-17,1135,case_cumul,2020-04-06
18-44,25383,case_cumul,2020-04-06
45-64,23135,case_cumul,2020-04-06
65-74,8260,case_cumul,2020-04-06
75+,6905,case_cumul,2020-04-06
0-17,1204,case_cumul,2020-04-07
18-44,26716,case_cumul,2020-04-07
45-64,24627,case_cumul,2020-04-07
65-74,8749,case_cumul,2020-04-07
75+,7345,case_cumul,2020-04-07
0-17,1374,case_cumul,2020-04-08
18-44,28830,case_cumul,2020-04-08
45-64,26755,case_cumul,2020-04-08
65-74,9472,case_cumul,2020-04-08
75+,8007,case_cumul,2020-04-08
0-17,1523,case_cumul,2020-04-09
18-44,30877,case_cumul,2020-04-09
45-64,28700,case_cumul,2020-04-09
65-74,10219,case_cumul,2020-04-09
75+,8713,case_cumul,2020-04-09
0-17,1726,case_cumul,2020-04-10
18-44,33906,case_cumul,2020-04-10
45-64,31472,case_cumul,2020-04-10
65-74,10990,case_cumul,2020-04-10
75+,9424,case_cumul,2020-04-10
0-17,1867,case_cumul,2020-04-11
18-44,36475,case_cumul,2020-04-11
45-64,33914,case_cumul,2020-04-11
65-74,11736,case_cumul,2020-04-11
75+,10203,case_cumul,2020-04-11
0-17,1928,case_cumul,2020-04-12
18-44,37835,case_cumul,2020-04-12
45-64,35575,case_cumul,2020-04-12
65-74,12364,case_cumul,2020-04-12
75+,10793,case_cumul,2020-04-12
0-17,2025,case_cumul,2020-04-13
18-44,39704,case_cumul,2020-04-13
45-64,37851,case_cumul,2020-04-13
65-74,13128,case_cumul,2020-04-13
75+,11477,case_cumul,2020-04-13
0-17,2078,case_cumul,2020-04-14
18-44,40612,case_cumul,2020-04-14
45-64,38967,case_cumul,2020-04-14
65-74,13542,case_cumul,2020-04-14
75+,11840,case_cumul,2020-04-14
0-17,2150,case_cumul,2020-04-15
18-44,42127,case_cumul,2020-04-15
45-64,40559,case_cumul,2020-04-15
65-74,14025,case_cumul,2020-04-15
75+,12331,case_cumul,2020-04-15
0-17,2256,case_cumul,2020-04-16
18-44,44016,case_cumul,2020-04-16
45-64,42743,case_cumul,2020-04-16
65-74,14949,case_cumul,2020-04-16
75+,13366,case_cumul,2020-04-16
0-17,2395,case_cumul,2020-04-17
18-44,45648,case_cumul,2020-04-17
45-64,44460,case_cumul,2020-04-17
65-74,15490,case_cumul,2020-04-17
75+,13892,case_cumul,2020-04-17
0-17,2478,case_cumul,2020-04-18
18-44,46985,case_cumul,2020-04-18
45-64,46115,case_cumul,2020-04-18
65-74,16019,case_cumul,2020-04-18
75+,14501,case_cumul,2020-04-18
0-17,2588,case_cumul,2020-04-19
18-44,48156,case_cumul,2020-04-19
45-64,47407,case_cumul,2020-04-19
65-74,16439,case_cumul,2020-04-19
75+,14922,case_cumul,2020-04-19
0-17,2652,case_cumul,2020-04-20
18-44,49066,case_cumul,2020-04-20
45-64,48444,case_cumul,2020-04-20
65-74,16776,case_cumul,2020-04-20
75+,15251,case_cumul,2020-04-20
0-17,2707,case_cumul,2020-04-21
18-44,49887,case_cumul,2020-04-21
45-64,49383,case_cumul,2020-04-21
65-74,17072,case_cumul,2020-04-21
75+,15547,case_cumul,2020-04-21
0-17,2839,case_cumul,2020-04-22
18-44,51217,case_cumul,2020-04-22
45-64,50694,case_cumul,2020-04-22
65-74,17474,case_cumul,2020-04-22
75+,15932,case_cumul,2020-04-22
0-17,2961,case_cumul,2020-04-23
18-44,52380,case_cumul,2020-04-23
45-64,51998,case_cumul,2020-04-23
65-74,17846,case_cumul,2020-04-23
75+,16282,case_cumul,2020-04-23
0-17,3116,case_cumul,2020-04-24
18-44,53941,case_cumul,2020-04-24
45-64,53696,case_cumul,2020-04-24
65-74,18372,case_cumul,2020-04-24
75+,16727,case_cumul,2020-04-24
0-17,3276,case_cumul,2020-04-25
18-44,55541,case_cumul,2020-04-25
45-64,55390,case_cumul,2020-04-25
65-74,18891,case_cumul,2020-04-25
75+,17182,case_cumul,2020-04-25
0-17,3361,case_cumul,2020-04-26
18-44,56474,case_cumul,2020-04-26
45-64,56428,case_cumul,2020-04-26
65-74,19198,case_cumul,2020-04-26
75+,17443,case_cumul,2020-04-26
0-17,3488,case_cumul,2020-04-27
18-44,57462,case_cumul,2020-04-27
45-64,57556,case_cumul,2020-04-27
65-74,19545,case_cumul,2020-04-27
75+,17735,case_cumul,2020-04-27
0-17,3555,case_cumul,2020-04-28
18-44,58042,case_cumul,2020-04-28
45-64,58143,case_cumul,2020-04-28
65-74,19749,case_cumul,2020-04-28
75+,17909,case_cumul,2020-04-28
0-17,3631,case_cumul,2020-04-29
18-44,58866,case_cumul,2020-04-29
45-64,58877,case_cumul,2020-04-29
65-74,19996,case_cumul,2020-04-29
75+,18180,case_cumul,2020-04-29
0-17,3711,case_cumul,2020-04-30
